货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,外管局中间价,中行折算价,发布时间
英镑,865.31,838.43,871.68,873.59,867.6,867.6,2018.06.28 00:02:38
英镑,865.31,838.43,871.68,873.59,867.6,867.6,2018.06.28 00:00:05
英镑,865.31,838.43,871.68,873.59,867.6,867.6,2018.06.27 23:58:41
英镑,865.31,838.43,871.68,873.59,867.6,867.6,2018.06.27 23:58:41
英镑,865.31,838.43,871.68,873.59,867.6,867.6,2018.06.27 23:58:41
英镑,865.11,838.23,871.48,873.39,867.6,867.6,2018.06.27 23:39:37
英镑,865.44,838.55,871.82,873.73,867.6,867.6,2018.06.27 23:35:03
英镑,865.44,838.55,871.82,873.73,867.6,867.6,2018.06.27 23:34:02
英镑,865.97,839.06,872.35,874.26,867.6,867.6,2018.06.27 23:29:48
英镑,866.04,839.13,872.42,874.33,867.6,867.6,2018.06.27 23:28:13
英镑,865.64,838.74,872.02,873.93,867.6,867.6,2018.06.27 23:25:55
英镑,865.71,838.81,872.09,874,867.6,867.6,2018.06.27 23:22:32
英镑,866.04,839.13,872.42,874.33,867.6,867.6,2018.06.27 23:21:05
英镑,866.04,839.13,872.42,874.33,867.6,867.6,2018.06.27 23:19:39
英镑,865.71,838.81,872.09,874,867.6,867.6,2018.06.27 23:17:34
英镑,865.9,839,872.28,874.19,867.6,867.6,2018.06.27 23:16:21
英镑,865.84,838.94,872.22,874.13,867.6,867.6,2018.06.27 23:15:25
英镑,865.84,838.94,872.22,874.13,867.6,867.6,2018.06.27 23:13:13
英镑,865.71,838.81,872.09,874,867.6,867.6,2018.06.27 23:12:46
英镑,865.64,838.74,872.02,873.93,867.6,867.6,2018.06.27 23:08:42
英镑,865.71,838.81,872.09,874,867.6,867.6,2018.06.27 23:05:25
英镑,865.44,838.55,871.82,873.73,867.6,867.6,2018.06.27 23:03:09
英镑,865.44,838.55,871.82,873.73,867.6,867.6,2018.06.27 23:00:42
英镑,865.64,838.74,872.02,873.93,867.6,867.6,2018.06.27 22:59:28
英镑,865.64,838.74,872.02,873.93,867.6,867.6,2018.06.27 22:56:41
英镑,865.71,838.81,872.09,874,867.6,867.6,2018.06.27 22:54:35
英镑,865.91,839,872.29,874.2,867.6,867.6,2018.06.27 22:50:50
英镑,865.84,838.94,872.22,874.13,867.6,867.6,2018.06.27 22:46:02
英镑,865.91,839,872.29,874.2,867.6,867.6,2018.06.27 22:41:02
英镑,865.91,839,872.29,874.2,867.6,867.6,2018.06.27 22:33:26
英镑,865.97,839.06,872.35,874.26,867.6,867.6,2018.06.27 22:32:12
英镑,866.17,839.26,872.55,874.46,867.6,867.6,2018.06.27 22:31:06
英镑,866.17,839.26,872.55,874.46,867.6,867.6,2018.06.27 22:29:26
英镑,866.37,839.45,872.75,874.66,867.6,867.6,2018.06.27 22:24:41
英镑,866.3,839.38,872.68,874.59,867.6,867.6,2018.06.27 22:20:59
英镑,866.9,839.96,873.28,875.19,867.6,867.6,2018.06.27 22:11:47
英镑,866.7,839.77,873.08,874.99,867.6,867.6,2018.06.27 22:04:17
英镑,866.7,839.77,873.08,874.99,867.6,867.6,2018.06.27 22:03:01
英镑,866.63,839.7,873.01,874.92,867.6,867.6,2018.06.27 22:01:09
英镑,866.76,839.83,873.14,875.05,867.6,867.6,2018.06.27 21:58:27
英镑,866.76,839.83,873.14,875.05,867.6,867.6,2018.06.27 21:54:30
英镑,866.63,839.7,873.01,874.92,867.6,867.6,2018.06.27 21:53:15
英镑,866.83,839.89,873.21,875.12,867.6,867.6,2018.06.27 21:48:48
英镑,866.96,840.02,873.34,875.26,867.6,867.6,2018.06.27 21:39:53
英镑,866.7,839.77,873.08,874.99,867.6,867.6,2018.06.27 21:28:34
英镑,866.7,839.77,873.08,874.99,867.6,867.6,2018.06.27 21:27:11
英镑,866.24,839.32,872.62,874.53,867.6,867.6,2018.06.27 21:11:39
英镑,866.1,839.19,872.48,874.39,867.6,867.6,2018.06.27 21:06:38
英镑,865.91,839,872.29,874.2,867.6,867.6,2018.06.27 21:05:17
英镑,865.97,839.06,872.35,874.26,867.6,867.6,2018.06.27 21:04:51
英镑,865.71,838.81,872.09,874,867.6,867.6,2018.06.27 21:02:52
英镑,865.97,839.06,872.35,874.26,867.6,867.6,2018.06.27 21:00:22
英镑,866.24,839.32,872.62,874.53,867.6,867.6,2018.06.27 20:56:11
英镑,866.24,839.32,872.62,874.53,867.6,867.6,2018.06.27 20:52:46
英镑,866.7,839.77,873.08,874.99,867.6,867.6,2018.06.27 20:48:29
英镑,866.76,839.83,873.14,875.05,867.6,867.6,2018.06.27 20:47:41
英镑,867.09,840.14,873.47,875.39,867.6,867.6,2018.06.27 20:45:45
英镑,867.23,840.28,873.61,875.53,867.6,867.6,2018.06.27 20:43:38
英镑,867.42,840.46,873.8,875.72,867.6,867.6,2018.06.27 20:41:59
英镑,867.29,840.34,873.67,875.59,867.6,867.6,2018.06.27 20:41:28
英镑,867.16,840.21,873.54,875.46,867.6,867.6,2018.06.27 20:37:50
英镑,866.9,839.96,873.28,875.19,867.6,867.6,2018.06.27 20:36:05
英镑,866.7,839.77,873.08,874.99,867.6,867.6,2018.06.27 20:35:10
英镑,866.57,839.64,872.95,874.86,867.6,867.6,2018.06.27 20:34:32
英镑,866.83,839.89,873.21,875.12,867.6,867.6,2018.06.27 20:33:09
英镑,866.76,839.83,873.14,875.05,867.6,867.6,2018.06.27 20:30:54
英镑,866.96,840.02,873.34,875.26,867.6,867.6,2018.06.27 20:30:01
英镑,866.96,840.02,873.34,875.26,867.6,867.6,2018.06.27 20:28:18
英镑,867.16,840.21,873.54,875.46,867.6,867.6,2018.06.27 20:27:10
英镑,867.16,840.21,873.54,875.46,867.6,867.6,2018.06.27 20:26:02
英镑,867.09,840.14,873.47,875.39,867.6,867.6,2018.06.27 20:24:14
英镑,866.63,839.7,873.01,874.92,867.6,867.6,2018.06.27 20:20:34
英镑,866.63,839.7,873.01,874.92,867.6,867.6,2018.06.27 20:18:42
英镑,866.7,839.77,873.08,874.99,867.6,867.6,2018.06.27 20:17:13
英镑,866.7,839.77,873.08,874.99,867.6,867.6,2018.06.27 20:16:25
英镑,866.63,839.7,873.01,874.92,867.6,867.6,2018.06.27 20:14:53
