"货币名称","现汇买入价","现钞买入价","现汇卖出价","现钞卖出价","外管局中间价","中行折算价","发布时间"
"美元",660.76,655.38,663.56,663.56,661.66,661.66,"2018.06.29 20:01:52"
"美元",660.76,655.38,663.56,663.56,661.66,661.66,"2018.06.29 20:01:30"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 20:00:54"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 20:00:34"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 19:58:41"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 19:55:35"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 19:54:33"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 19:52:49"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 19:51:59"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 19:51:19"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 19:49:23"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 19:43:56"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 19:43:34"
"美元",660.86,655.48,663.66,663.66,661.66,661.66,"2018.06.29 19:41:18"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:39:56"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:38:44"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:37:45"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:35:34"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:35:09"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:33:01"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:31:46"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:27:54"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:26:09"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:24:18"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:21:53"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:21:00"
"美元",660.91,655.53,663.71,663.71,661.66,661.66,"2018.06.29 19:19:51"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:19:08"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:18:17"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:16:06"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:15:23"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:14:54"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:14:28"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:14:10"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:10:27"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:09:22"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:08:45"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:08:08"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:07:49"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:07:35"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:06:00"
"美元",660.96,655.58,663.76,663.76,661.66,661.66,"2018.06.29 19:03:41"
"美元",661.05,655.68,663.86,663.86,661.66,661.66,"2018.06.29 19:01:15"
"美元",661.05,655.68,663.86,663.86,661.66,661.66,"2018.06.29 18:59:58"
"美元",661.05,655.68,663.86,663.86,661.66,661.66,"2018.06.29 18:57:18"
"美元",661.05,655.68,663.86,663.86,661.66,661.66,"2018.06.29 18:56:58"
"美元",661.05,655.68,663.86,663.86,661.66,661.66,"2018.06.29 18:56:43"
"美元",661.05,655.68,663.86,663.86,661.66,661.66,"2018.06.29 18:54:10"
"美元",661.15,655.78,663.96,663.96,661.66,661.66,"2018.06.29 18:49:13"
